Country or Area Code,Country or Area,Year,Value,Value Footnotes,
AGO,Angola,2011,14.776,1,
AGO,Angola,2010,10,1,
AGO,Angola,2009,6,1,
AGO,Angola,2008,4.6,1,
AGO,Angola,2007,3.2,1,
AGO,Angola,2006,1.907647507,,
AGO,Angola,2005,1.143366827,,
AGO,Angola,2004,0.464814618,,
AGO,Angola,2003,0.370682065,,
AGO,Angola,2002,0.270376746,,
AGO,Angola,2001,0.136013867,,
AGO,Angola,2000,0.105045562,,
AGO,Angola,1999,0.071964087,,
AGO,Angola,1998,0.018453724,,
AGO,Angola,1997,0.005673746,,
AGO,Angola,1996,0.000775929,,
AGO,Angola,1990,0,,
ATG,Antigua and Barbuda,2012,59,1,
ATG,Antigua and Barbuda,2011,53,1,
ATG,Antigua and Barbuda,2010,47,1,
ATG,Antigua and Barbuda,2009,42,1,
ATG,Antigua and Barbuda,2008,38,1,
ATG,Antigua and Barbuda,2007,34,1,
ATG,Antigua and Barbuda,2006,30,1,
ATG,Antigua and Barbuda,2005,27,1,
ATG,Antigua and Barbuda,2004,24.26654372,13,
ATG,Antigua and Barbuda,2003,17.22864878,1,
ATG,Antigua and Barbuda,2002,12.5,13,
ATG,Antigua and Barbuda,2001,8.899285515,1,
ATG,Antigua and Barbuda,2000,6.482225737,13,
ATG,Antigua and Barbuda,1999,5.300681138,13,
ATG,Antigua and Barbuda,1998,4.0717165,13,
ATG,Antigua and Barbuda,1997,3.480536838,13,
ATG,Antigua and Barbuda,1996,2.858449577,13,
ATG,Antigua and Barbuda,1995,2.200768802,13,
ATG,Antigua and Barbuda,1990,0,13,
ARG,Argentina,2012,55.8,1,
ARG,Argentina,2011,51,14,
ARG,Argentina,2010,45,1,
ARG,Argentina,2009,34,15,
ARG,Argentina,2008,28.11262348,16,
ARG,Argentina,2007,25.94663294,16,
ARG,Argentina,2006,20.9272021,16,
ARG,Argentina,2005,17.72058337,16,
ARG,Argentina,2004,16.03668411,16,
ARG,Argentina,2003,11.91369655,16,
ARG,Argentina,2002,10.88212438,16,
ARG,Argentina,2001,9.780807285,16,
ARG,Argentina,2000,7.038683086,16,
ARG,Argentina,1999,3.284481956,17,
ARG,Argentina,1998,0.83076668,17,
ARG,Argentina,1997,0.280339882,17,
ARG,Argentina,1996,0.141954704,17,
ARG,Argentina,1995,0.086277081,17,
ARG,Argentina,1994,0.043705951,17,
ARG,Argentina,1993,0.029527065,17,
ARG,Argentina,1992,0.002992874,17,
ARG,Argentina,1990,0,17,
ARM,Armenia,2012,39.16079157,1,
ARM,Armenia,2011,32,1,
ARM,Armenia,2010,25,1,
ARM,Armenia,2009,15.3,1,
ARM,Armenia,2008,6.21,18,
ARM,Armenia,2007,6.021253397,1,
ARM,Armenia,2006,5.631787777,,
ARM,Armenia,2005,5.252983352,,
ARM,Armenia,2004,4.899008571,,
ARM,Armenia,2003,4.575217225,,
ARM,Armenia,2002,1.960405046,,
ARM,Armenia,2001,1.631094667,,
ARM,Armenia,2000,1.300470022,,
ARM,Armenia,1999,0.970737757,,
ARM,Armenia,1998,0.128659478,,
ARM,Armenia,1997,0.111650935,,
ARM,Armenia,1996,0.094572902,,
ARM,Armenia,1995,0.052743123,,
ARM,Armenia,1994,0.009117014,,
ARM,Armenia,1990,0,,
ABW,Aruba,2012,74,1,
ABW,Aruba,2011,69,1,
ABW,Aruba,2010,62,1,
ABW,Aruba,2009,58,1,
ABW,Aruba,2008,52,1,
ABW,Aruba,2007,30.9,1,
ABW,Aruba,2006,28,1,
ABW,Aruba,2005,25.4,1,
ABW,Aruba,2004,23,1,
ABW,Aruba,2003,20.8,1,
ABW,Aruba,2002,18.8,1,
ABW,Aruba,2001,17.1,1,
ABW,Aruba,2000,15.44282295,19,
ABW,Aruba,1999,4.506179098,19,
ABW,Aruba,1996,2.768382663,19,
ABW,Aruba,1990,0,19,
AUS,Australia,2012,82.3495485,1,
AUS,Australia,2011,79.5,20,
AUS,Australia,2010,76,1,
AUS,Australia,2009,74.25,21,
AUS,Australia,2008,71.67,21,
AUS,Australia,2007,69.45,21,
AUS,Australia,2006,66,21,
AUS,Australia,2005,63,21,
AUS,Australia,2001,52.68926643,1,
AUS,Australia,2000,46.75611561,22,
AUS,Australia,1999,40.7837839,22,
AUS,Australia,1998,30.81323944,22,
AUS,Australia,1997,16.36935838,1,
AUS,Australia,1996,3.27524987,1,
AUS,Australia,1995,2.759654513,1,
AUS,Australia,1994,2.232101254,1,
AUS,Australia,1993,1.974611016,1,
AUS,Australia,1992,1.768764913,1,
AUS,Australia,1991,1.097203891,1,
AUS,Australia,1990,0.585094712,1,
AUT,Austria,2012,81,23,
AUT,Austria,2011,79.8,24,
AUT,Austria,2010,75.17,23,
AUT,Austria,2009,73.45,23,
AUT,Austria,2008,72.87,23,
AUT,Austria,2007,69.37,23,
AUT,Austria,2006,63.6,23,
AUT,Austria,2005,58,23,
AUT,Austria,2004,54.28,23,
AUT,Austria,2003,42.7,23,
AUT,Austria,2002,36.56,25,
AUT,Austria,2001,39.18545018,26,
AUT,Austria,2000,33.73013295,26,
AUT,Austria,1999,23.0443171,26,
AUT,Austria,1998,15.42121932,26,
AUT,Austria,1997,9.533974317,26,
AUT,Austria,1996,6.909162353,26,
AUT,Austria,1995,1.890210524,27,
AUT,Austria,1994,1.393422968,27,
AUT,Austria,1993,0.76534273,27,
AUT,Austria,1992,0.642817619,27,
AUT,Austria,1991,0.259081553,27,
AUT,Austria,1990,0.130369377,27,
AZE,Azerbaijan,2012,54.2,1,
AZE,Azerbaijan,2011,50,28,
AZE,Azerbaijan,2010,46,29,
AZE,Azerbaijan,2009,27.4,29,
AZE,Azerbaijan,2008,17.08,29,
AZE,Azerbaijan,2007,14.54,1,
AZE,Azerbaijan,2006,11.99217733,,
AZE,Azerbaijan,2005,8.030375356,,
AZE,Azerbaijan,2002,4.999713678,,
AZE,Azerbaijan,2001,0.305564638,,
AZE,Azerbaijan,2000,0.147757576,,
AZE,Azerbaijan,1999,0.099228942,,
AZE,Azerbaijan,1998,0.037485109,,
AZE,Azerbaijan,1997,0.025187933,,
AZE,Azerbaijan,1996,0.006354585,,
AZE,Azerbaijan,1995,0.002055556,,
AZE,Azerbaijan,1994,0.001431415,,
AZE,Azerbaijan,1990,0,,
BHS,Bahamas,2012,71.74820281,1,
BHS,Bahamas,2011,65,30,
BHS,Bahamas,2010,43,1,
BHS,Bahamas,2009,33.88,30,
BHS,Bahamas,2008,31.54,30,
BHS,Bahamas,2007,27,1,
BHS,Bahamas,2006,26,1,
BHS,Bahamas,2005,25,1,
BHS,Bahamas,2004,22,1,
BHS,Bahamas,2003,20,1,
BHS,Bahamas,2002,18,31,
BHS,Bahamas,2001,11.8,31,
BHS,Bahamas,2000,8,31,
BHS,Bahamas,1999,3.764557822,32,
BHS,Bahamas,1998,2.33559071,32,
BHS,Bahamas,1997,1.362953903,32,
BHS,Bahamas,1996,1.746950698,32,
BHS,Bahamas,1995,0.960030721,32,
BHS,Bahamas,1990,0,32,
BHR,Bahrain,2012,88,33,
BHR,Bahrain,2011,77,34,
BHR,Bahrain,2010,55,34,
BHR,Bahrain,2009,53,34,
BHR,Bahrain,2008,51.95,34,
BHR,Bahrain,2007,32.91,34,
BHR,Bahrain,2006,28.24395243,,
BHR,Bahrain,2005,21.30373351,,
BHR,Bahrain,2004,21.45868051,,
BHR,Bahrain,2003,21.55494499,,
BHR,Bahrain,2002,18.05072089,,
BHR,Bahrain,2001,15.03863425,,
BHR,Bahrain,2000,6.153732546,,
BHR,Bahrain,1999,4.720358118,,
BHR,Bahrain,1998,3.218202151,,
BHR,Bahrain,1997,1.646299202,,
BHR,Bahrain,1996,0.843254219,,
BHR,Bahrain,1995,0.346205844,,
BHR,Bahrain,1990,0,,
BGD,Bangladesh,2012,6.3,1,
BGD,Bangladesh,2011,5,1,
BGD,Bangladesh,2010,3.7,1,
BGD,Bangladesh,2009,3.1,1,
BGD,Bangladesh,2008,2.5,1,
BGD,Bangladesh,2007,1.8,1,
BGD,Bangladesh,2006,1,1,
BGD,Bangladesh,2005,0.241637326,1,
BGD,Bangladesh,2004,0.199036334,1,
BGD,Bangladesh,2003,0.163877665,1,
BGD,Bangladesh,2002,0.139920289,1,
BGD,Bangladesh,2001,0.129807974,1,
BGD,Bangladesh,2000,0.071039423,1,
BGD,Bangladesh,1999,0.036170407,1,
BGD,Bangladesh,1998,0.003684813,1,
BGD,Bangladesh,1997,0.000751046,,
BGD,Bangladesh,1990,0,,
BRB,Barbados,2012,73.32981369,1,
BRB,Barbados,2011,71.7657,1,
BRB,Barbados,2010,68.1,1,
BRB,Barbados,2009,64.7,1,
BRB,Barbados,2008,61.4,1,
BRB,Barbados,2007,58.2,1,
BRB,Barbados,2006,55.3,1,
BRB,Barbados,2005,52.5,1,
BRB,Barbados,2004,49.8,35,
BRB,Barbados,2003,39.68962712,36,
BRB,Barbados,2002,27.83632242,1,
BRB,Barbados,2001,11.93645034,1,
BRB,Barbados,2000,3.973678355,37,
BRB,Barbados,1999,2.376247035,37,
BRB,Barbados,1998,1.970249237,37,
BRB,Barbados,1997,0.783428912,37,
BRB,Barbados,1996,0.389464214,37,
BRB,Barbados,1995,0.007752238,37,
BRB,Barbados,1990,0,37,
BLR,Belarus,2012,46.90600584,38,
BLR,Belarus,2011,39.6,39,
BLR,Belarus,2010,31.8,39,
BLR,Belarus,2009,27.43,39,
BLR,Belarus,2008,23,40,
BLR,Belarus,2007,19.7,40,
BLR,Belarus,2006,16.2,40,
BLR,Belarus,2002,8.950971315,41,
BLR,Belarus,2001,4.300616022,41,
BLR,Belarus,2000,1.860398126,41,
BLR,Belarus,1999,0.494881245,41,
BLR,Belarus,1998,0.073868897,41,
BLR,Belarus,1997,0.049020891,41,
BLR,Belarus,1996,0.029298294,41,
BLR,Belarus,1995,0.002921254,41,
BLR,Belarus,1994,0.000485951,41,
BLR,Belarus,1990,0,41,
BEL,Belgium,2012,82,23,
BEL,Belgium,2011,78,1,
BEL,Belgium,2010,75,42,
BEL,Belgium,2009,70,42,
BEL,Belgium,2008,66,42,
BEL,Belgium,2007,64.44,1,
BEL,Belgium,2006,59.72,1,
BEL,Belgium,2005,55.82,1,
BEL,Belgium,2004,53.86,43,
BEL,Belgium,2003,49.97,43,
BEL,Belgium,2002,46.33,43,
BEL,Belgium,2001,31.28839551,44,
BEL,Belgium,2000,29.43169169,44,
BEL,Belgium,1999,13.77221446,44,
BEL,Belgium,1998,7.886622701,44,
BEL,Belgium,1997,4.93808091,44,
BEL,Belgium,1996,2.968411647,44,
BEL,Belgium,1995,0.99166299,44,
BEL,Belgium,1994,0.69599469,44,
BEL,Belgium,1993,0.199446059,44,
BEL,Belgium,1992,0.100041027,44,
BEL,Belgium,1991,0.020072645,44,
BEL,Belgium,1990,0.00100674,44,
BLZ,Belize,2012,25,1,
BLZ,Belize,2011,18.7,1,
BLZ,Belize,2010,14,1,
BLZ,Belize,2009,11.73,1,
BLZ,Belize,2008,11.31,1,
BLZ,Belize,2007,10.86,1,
BLZ,Belize,2006,10.40167814,45,
BLZ,Belize,2005,9.210288601,45,
BLZ,Belize,2004,5.793616883,45,
BLZ,Belize,2002,5.684251214,1,
BLZ,Belize,2000,5.963835303,45,
BLZ,Belize,1999,4.076740564,45,
BLZ,Belize,1998,2.091516391,45,
BLZ,Belize,1997,1.288582302,45,
BLZ,Belize,1996,0.882807327,45,
BLZ,Belize,1995,0.04539718,45,
BLZ,Belize,1990,0,45,
BEN,Benin,2012,3.797704741,1,
BEN,Benin,2011,3.5,46,
BEN,Benin,2010,3.13,46,
BEN,Benin,2009,2.24,46,
BEN,Benin,2008,1.85,46,
BEN,Benin,2007,1.79,46,
BEN,Benin,2006,1.537854346,,
BEN,Benin,2005,1.271031439,,
BEN,Benin,2004,1.182540965,,
BEN,Benin,2003,0.951327115,,
BEN,Benin,2002,0.702945595,,
BEN,Benin,2001,0.36341789,,
BEN,Benin,2000,0.225247851,,
BEN,Benin,1999,0.154906741,,
BEN,Benin,1998,0.047877304,,
BEN,Benin,1997,0.024648796,,
BEN,Benin,1996,0.0016931,,
BEN,Benin,1990,0,,
BMU,Bermuda,2012,91.29930452,1,
BMU,Bermuda,2011,88.336,1,
BMU,Bermuda,2010,84.21,1,
BMU,Bermuda,2009,83.25,47,
BMU,Bermuda,2008,82.3,48,
BMU,Bermuda,2007,74.35059403,,
BMU,Bermuda,2006,69.89965516,,
BMU,Bermuda,2005,65.44706579,,
BMU,Bermuda,2004,60.99086701,,
BMU,Bermuda,2003,56.52201218,,
BMU,Bermuda,2002,52.03159737,,
BMU,Bermuda,2001,47.5096999,,
BMU,Bermuda,2000,42.94986002,,
BMU,Bermuda,1999,39.94758876,,
BMU,Bermuda,1998,32.10375935,,
BMU,Bermuda,1997,24.18925674,,
BMU,Bermuda,1996,16.20246602,,
BMU,Bermuda,1995,6.838163465,,
BMU,Bermuda,1990,0,,
BTN,Bhutan,2012,25.43434891,1,
BTN,Bhutan,2011,21,49,
BTN,Bhutan,2010,13.6,50,
BTN,Bhutan,2009,7.17,51,
BTN,Bhutan,2008,6.55,51,
BTN,Bhutan,2007,5.92,51,
BTN,Bhutan,2006,4.518317258,,
BTN,Bhutan,2005,3.847106745,,
BTN,Bhutan,2004,3.156984196,,
BTN,Bhutan,2003,2.436912399,,
BTN,Bhutan,2002,1.675802584,,
BTN,Bhutan,2001,0.864628564,,
BTN,Bhutan,2000,0.400944447,,
BTN,Bhutan,1999,0.137571514,,
BTN,Bhutan,1990,0,,
BOL,Bolivia,2012,34.18843423,1,
BOL,Bolivia,2011,30,1,
BOL,Bolivia,2010,22.4,1,
BOL,Bolivia,2009,16.8,1,
BOL,Bolivia,2008,12.5,1,
BOL,Bolivia,2007,10.49924432,1,
BOL,Bolivia,2006,6.200671255,52,
BOL,Bolivia,2005,5.227583957,52,
BOL,Bolivia,2004,4.439924601,52,
BOL,Bolivia,2003,3.508596401,52,
BOL,Bolivia,2002,3.117192947,53,
BOL,Bolivia,2001,2.120462534,53,
BOL,Bolivia,2000,1.442763585,53,
BOL,Bolivia,1999,0.981815187,53,
BOL,Bolivia,1998,0.626484062,53,
BOL,Bolivia,1997,0.447839036,53,
BOL,Bolivia,1996,0.196081174,53,
BOL,Bolivia,1995,0.066807568,54,
BOL,Bolivia,1990,0,54,
BIH,Bosnia and Herzegovina,2012,65.35609448,1,
BIH,Bosnia and Herzegovina,2011,60,1,
BIH,Bosnia and Herzegovina,2010,52,55,
BIH,Bosnia and Herzegovina,2009,37.74,56,
BIH,Bosnia and Herzegovina,2008,34.66,56,
BIH,Bosnia and Herzegovina,2007,27.92,56,
BIH,Bosnia and Herzegovina,2006,25.12238569,57,
BIH,Bosnia and Herzegovina,2005,21.326701,57,
BIH,Bosnia and Herzegovina,2004,15.46897162,57,
BIH,Bosnia and Herzegovina,2003,3.965036834,1,
BIH,Bosnia and Herzegovina,2002,2.648267914,57,
BIH,Bosnia and Herzegovina,2001,1.200526951,58,
BIH,Bosnia and Herzegovina,2000,1.08296075,58,
BIH,Bosnia and Herzegovina,1999,0.1943742,58,
BIH,Bosnia and Herzegovina,1998,0.14367106,58,
BIH,Bosnia and Herzegovina,1997,0.059425563,58,
BIH,Bosnia and Herzegovina,1996,0.015125563,58,
BIH,Bosnia and Herzegovina,1990,0,58,
BWA,Botswana,2012,11.5,1,
BWA,Botswana,2011,8,59,
BWA,Botswana,2010,6,59,
BWA,Botswana,2009,6.15,60,
BWA,Botswana,2008,6.25,59,
BWA,Botswana,2007,5.28,59,
BWA,Botswana,2006,4.289932975,61,
BWA,Botswana,2005,3.262554036,1,
BWA,Botswana,2004,3.304889253,61,
BWA,Botswana,2003,3.345190174,61,
BWA,Botswana,2002,3.385922351,62,
BWA,Botswana,2001,3.430886787,62,
BWA,Botswana,2000,2.902666622,62,
BWA,Botswana,1999,1.122391474,62,
BWA,Botswana,1998,0.602400929,62,
BWA,Botswana,1997,0.30774685,62,
BWA,Botswana,1996,0.15745423,62,
BWA,Botswana,1995,0.064521041,62,
BWA,Botswana,1991,0,62,
BWA,Botswana,1990,0,62,
BWA,Botswana,1989,0,62,
BWA,Botswana,1988,0,62,
BWA,Botswana,1987,0,62,
BWA,Botswana,1986,0,62,
BWA,Botswana,1985,0,62,
BWA,Botswana,1984,0,62,
BWA,Botswana,1983,0,62,
BWA,Botswana,1982,0,62,
BWA,Botswana,1981,0,62,
BWA,Botswana,1980,0,62,
BWA,Botswana,1979,0,62,
BWA,Botswana,1978,0,62,
BWA,Botswana,1977,0,62,
BWA,Botswana,1976,0,62,
BWA,Botswana,1975,0,62,
BWA,Botswana,1970,0,62,
BWA,Botswana,1965,0,62,
BWA,Botswana,1960,0,62,
BRA,Brazil,2012,49.84799936,1,
BRA,Brazil,2011,45,63,
BRA,Brazil,2010,40.65,63,
BRA,Brazil,2009,39.22,63,
BRA,Brazil,2008,33.83,63,
BRA,Brazil,2007,30.88,64,
BRA,Brazil,2006,28.17838018,64,
BRA,Brazil,2005,21.02274725,65,
BRA,Brazil,2004,19.07367227,,
BRA,Brazil,2003,13.2075861,,
BRA,Brazil,2002,9.149425086,,
BRA,Brazil,2001,4.528494869,,
BRA,Brazil,2000,2.870685159,,
BRA,Brazil,1999,2.038732184,,
BRA,Brazil,1998,1.477874959,,
BRA,Brazil,1997,0.786079155,,
BRA,Brazil,1996,0.450789179,,
BRA,Brazil,1995,0.105138168,,
BRA,Brazil,1994,0.037672709,,
BRA,Brazil,1993,0.025498253,,
BRA,Brazil,1992,0.012946262,,
BRA,Brazil,1991,0.003288171,,
BRA,Brazil,1990,0,,
BRN,Brunei Darussalam,2012,60.27306504,1,
BRN,Brunei Darussalam,2011,56,1,
BRN,Brunei Darussalam,2010,53,1,
BRN,Brunei Darussalam,2009,49,66,
BRN,Brunei Darussalam,2008,46,66,
BRN,Brunei Darussalam,2007,44.68,67,
BRN,Brunei Darussalam,2006,42.18634916,68,
BRN,Brunei Darussalam,2005,36.46639195,68,
BRN,Brunei Darussalam,2004,29.71560414,68,
BRN,Brunei Darussalam,2003,19.59500322,68,
BRN,Brunei Darussalam,2002,15.32987986,68,
BRN,Brunei Darussalam,2001,12.91776908,69,
BRN,Brunei Darussalam,2000,8.996284534,69,
BRN,Brunei Darussalam,1999,7.671041206,69,
BRN,Brunei Darussalam,1998,6.284742844,69,
BRN,Brunei Darussalam,1997,4.831057905,69,
BRN,Brunei Darussalam,1996,3.303349927,69,
BRN,Brunei Darussalam,1995,1.017080166,69,
BRN,Brunei Darussalam,1990,0,69,
BGR,Bulgaria,2012,55.14809787,23,
BGR,Bulgaria,2011,51,70,
BGR,Bulgaria,2010,46.23,70,
BGR,Bulgaria,2009,45,70,
BGR,Bulgaria,2008,39.67,70,
BGR,Bulgaria,2007,33.64,70,
BGR,Bulgaria,2006,27.09,71,
BGR,Bulgaria,2005,19.97,72,
BGR,Bulgaria,2004,18.13,71,
BGR,Bulgaria,2003,12.04,73,
BGR,Bulgaria,2002,9.08,73,
BGR,Bulgaria,2001,7.612297749,74,
BGR,Bulgaria,2000,5.370923469,74,
BGR,Bulgaria,1999,2.908154025,74,
BGR,Bulgaria,1998,1.844965121,74,
BGR,Bulgaria,1997,1.219813132,74,
BGR,Bulgaria,1996,0.725251167,74,
BGR,Bulgaria,1995,0.119665549,74,
BGR,Bulgaria,1994,0.019526669,74,
BGR,Bulgaria,1993,0.002339042,74,
BGR,Bulgaria,1990,0,74,
BFA,Burkina Faso,2012,3.725034916,1,
BFA,Burkina Faso,2011,3,1,
BFA,Burkina Faso,2010,2.4,1,
BFA,Burkina Faso,2009,1.13,1,
BFA,Burkina Faso,2008,0.92,1,
BFA,Burkina Faso,2007,0.75,75,
BFA,Burkina Faso,2006,0.632707564,,
BFA,Burkina Faso,2005,0.469914489,,
BFA,Burkina Faso,2004,0.400295285,,
BFA,Burkina Faso,2003,0.373440303,,
BFA,Burkina Faso,2002,0.200992598,,
BFA,Burkina Faso,2001,0.157732465,,
BFA,Burkina Faso,2000,0.077080169,,
BFA,Burkina Faso,1999,0.061780293,,
BFA,Burkina Faso,1998,0.045423484,,
BFA,Burkina Faso,1997,0.018686353,,
BFA,Burkina Faso,1996,0.000960519,,
BFA,Burkina Faso,1990,0,,
BDI,Burundi,2012,1.219999945,1,
BDI,Burundi,2011,1.11,1,
BDI,Burundi,2010,1,1,
BDI,Burundi,2009,0.9,1,
BDI,Burundi,2008,0.81,76,
BDI,Burundi,2007,0.7,76,
BDI,Burundi,2006,0.65759259,,
BDI,Burundi,2005,0.542142866,,
BDI,Burundi,2004,0.349060462,,
BDI,Burundi,2003,0.201273197,,
BDI,Burundi,2002,0.118228412,,
BDI,Burundi,2001,0.106001245,,
BDI,Burundi,2000,0.077248447,,
BDI,Burundi,1999,0.039204469,,
BDI,Burundi,1998,0.015842776,,
BDI,Burundi,1997,0.007979439,,
BDI,Burundi,1996,0.000803592,,
BDI,Burundi,1995,0,,
BDI,Burundi,1994,0,,
BDI,Burundi,1993,0,,
BDI,Burundi,1992,0,,
BDI,Burundi,1991,0,,
BDI,Burundi,1990,0,,
BDI,Burundi,1989,0,,
BDI,Burundi,1988,0,,
BDI,Burundi,1987,0,,
BDI,Burundi,1986,0,,
BDI,Burundi,1985,0,,
BDI,Burundi,1984,0,,
BDI,Burundi,1983,0,,
BDI,Burundi,1982,0,,
BDI,Burundi,1981,0,,
BDI,Burundi,1980,0,,
BDI,Burundi,1979,0,,
BDI,Burundi,1978,0,,
BDI,Burundi,1977,0,,
BDI,Burundi,1976,0,,
BDI,Burundi,1975,0,,
BDI,Burundi,1970,0,,
BDI,Burundi,1965,0,,
BDI,Burundi,1960,0,,
KHM,Cambodia,2012,4.939861765,1,
KHM,Cambodia,2011,3.1,1,
KHM,Cambodia,2010,1.26,77,
KHM,Cambodia,2009,0.53,78,
KHM,Cambodia,2008,0.51,78,
KHM,Cambodia,2007,0.49,78,
KHM,Cambodia,2006,0.46835672,1,
KHM,Cambodia,2005,0.317321781,79,
KHM,Cambodia,2004,0.300436644,79,
KHM,Cambodia,2003,0.260570198,79,
KHM,Cambodia,2002,0.226983238,79,
KHM,Cambodia,2001,0.076956056,79,
KHM,Cambodia,2000,0.04702264,79,
KHM,Cambodia,1999,0.031969578,79,
KHM,Cambodia,1998,0.016324986,79,
KHM,Cambodia,1997,0.005844911,79,
KHM,Cambodia,1990,0,79,
CMR,Cameroon,2012,5.69898724,1,
CMR,Cameroon,2011,5,1,
CMR,Cameroon,2010,4.3,1,
CMR,Cameroon,2009,3.84,80,
CMR,Cameroon,2008,3.4,1,
CMR,Cameroon,2007,2.93,80,
CMR,Cameroon,2006,2.028744791,,
CMR,Cameroon,2005,1.402654226,,
CMR,Cameroon,2004,0.976075415,,
CMR,Cameroon,2003,0.587622611,,
CMR,Cameroon,2002,0.360871584,,
CMR,Cameroon,2001,0.277051322,,
CMR,Cameroon,2000,0.252120078,,
CMR,Cameroon,1999,0.129067581,,
CMR,Cameroon,1998,0.013216341,,
CMR,Cameroon,1997,0.006768744,,
CMR,Cameroon,1990,0,,
CAN,Canada,2012,86.7658644,1,
CAN,Canada,2011,83,1,
CAN,Canada,2010,80.3,81,
CAN,Canada,2009,80.3,82,
CAN,Canada,2008,76.7,83,
CAN,Canada,2007,73.2,82,
CAN,Canada,2006,72.4,84,
CAN,Canada,2005,71.66,82,
CAN,Canada,2004,65.95596346,85,
CAN,Canada,2003,64.2,85,
CAN,Canada,2002,61.59329927,85,
CAN,Canada,2001,60.2,85,
CAN,Canada,2000,51.3,85,
CAN,Canada,1999,36.18644004,86,
CAN,Canada,1998,24.8974003,86,
CAN,Canada,1997,15.07235736,86,
CAN,Canada,1996,6.76023965,86,
CAN,Canada,1995,4.163525253,86,
CAN,Canada,1994,2.378693853,86,
CAN,Canada,1993,1.184557509,86,
CAN,Canada,1992,0.91598104,86,
CAN,Canada,1991,0.570385926,86,
CAN,Canada,1990,0.360999701,86,
CPV,Cape Verde,2012,34.7434142,1,
CPV,Cape Verde,2011,32,1,
CPV,Cape Verde,2010,30,1,
CPV,Cape Verde,2009,21,1,
CPV,Cape Verde,2008,14,1,
CPV,Cape Verde,2007,8.28321982,87,
CPV,Cape Verde,2006,6.808911008,87,
CPV,Cape Verde,2005,6.074087107,87,
CPV,Cape Verde,2004,5.31883207,88,
CPV,Cape Verde,2003,4.324885391,88,
CPV,Cape Verde,2002,3.518757175,1,
CPV,Cape Verde,2001,2.685332713,88,
CPV,Cape Verde,2000,1.822443852,88,
CPV,Cape Verde,1999,1.159982461,88,
CPV,Cape Verde,1998,0.472735008,88,
CPV,Cape Verde,1997,0.24096792,88,
CPV,Cape Verde,1990,0,88,
CYM,Cayman Islands,2012,74.12653069,1,
CYM,Cayman Islands,2011,69.46594499,1,
CYM,Cayman Islands,2010,66,89,
CYM,Cayman Islands,2009,64.5,90,
CYM,Cayman Islands,2008,61,90,
CYM,Cayman Islands,2007,52,1,
